Original,Part of,Translation
MAX ARMOUR|DEX,MAX ARMOUR|DEX BONUS,MAX. GE
BONUS,MAX ARMOUR|DEX BONUS,BONUS
PER DAY,INVENTION USES |PER DAY,PRO TAG
DURATION,NAUSEATED|DURATION,DAUER
Wild Shape,Wild Shape|Become any small or medium animal or vermin,Tiergestalt
MELEE ATTACK,MELEE ATTACK|BONUS,NAHKAMPFANGRIFF
BONUS,MELEE ATTACK|BONUS,BONUS
"Baron, Duke, King or Queen","Baron, Duke, King or Queen – If vacant, kingdom fails all command rolls and cannot claim or develop hexes","Baron, Herzog oder König"
"– If vacant, kingdom fails all command rolls and cannot claim or develop hexes","Baron, Duke, King or Queen – If vacant, kingdom fails all command rolls and cannot claim or develop hexes","– Wenn unbesetzt, schlagen alle Befehlswürfe fehl; du kannst keine Hexafelder beanspruchen oder weiterentwickeln"
Nerf,Nerf -1,Nerf
BARBARIAN!,SUPERSTITIOUS|BARBARIAN!,BARBAR!
Cavalry Formation,"Cavalry Formation    Share space, charge through allied mount",Kavallerieformation
"Share space, charge through allied mount","Cavalry Formation    Share space, charge through allied mount","Teile Feld, führe Sturmangriff durch verbündetes Reittier aus"
to,Back to Back    +2 to AC against flanking,auf
AC,Back to Back    +2 to AC against flanking,RK
against flanking,Back to Back    +2 to AC against flanking,gegen in die Zange nehmen
RAGE!,RAGE! CONVERSION,KAMPFRAUSCH!
RAGE,RAGE POWERS,KAMPFRAUSCH
COMBAT|MANEUVRE,COMBAT|MANEUVRE|BONUS,KAMPF-|MANÖVER
BONUS,COMBAT|MANEUVRE|BONUS,BONUS
PER DAY,BANE|PER DAY,PRO TAG
BARDIC KNOWLEDGE,BARDIC KNOWLEDGE |BONUS,BARDENWISSEN
FEAR EFFECT,FEAR EFFECTWILL BONUS,FURCHTEFFEKT
WILL BONUS,FEAR EFFECTWILL BONUS,WILLENSBONUS
SMITING DAMAGE,SMITING DAMAGE|BONUS,SCHADEN DURCH NIEDERSTRECKEN
WILL SAVE,WILL SAVE|DC,WILLENSWURF
DC,WILL SAVE|DC,SG
Weapon Finesse,Weapon Finesse  Use DEX for melee attack,Waffenfinesse
Use,Weapon Finesse  Use DEX for melee attack,Nutze
DEX,Weapon Finesse  Use DEX for melee attack,GE
for melee attack,Weapon Finesse  Use DEX for melee attack,-Bonus für Nahkampfangriffe
WITHDRAW,"WITHDRAW    Gain 2000gp per bp. Increase unrest by 1, then make a loyalty check",ENTNEHMEN
"Gain 2000gp per bp. Increase unrest by 1, then make a loyalty check","WITHDRAW    Gain 2000gp per bp. Increase unrest by 1, then make a loyalty check","Erziele 2000 GM pro BP. Erhöhe Unruhe um 1, mache dann einen Treuewurf"
+1d6,Damage +1d6,+1W6
DAMAGE,DAMAGE|PENALTY,SCHADENS
PENALTY,DAMAGE|PENALTY,MALUS
Two-weapon fighting,Two-weapon fighting    Reduces penalty to:,Kampf mit zwei Waffen
Reduces penalty to:,Two-weapon fighting    Reduces penalty to:,Reduziert Mali auf:
Enforce law and order,"Enforce law and order – If present, -1 unrest at upkeep","Kann als Assasine, Kopfgeldjäger oder Scharfrichter dienen"
"– If present,","Enforce law and order – If present, -1 unrest at upkeep","– Wenn unbesetzt,"
unrest at upkeep,"Enforce law and order – If present, -1 unrest at upkeep",auf Unruhe in der Unterhaltsphase
THRESHOLD,ARCANE SPELL FAILURE|THRESHOLD,WAHRSCHEINLICHKEIT
bonus to attacks when flanking or making an attack of opportunity.,Add INT bonus to attacks when flanking or making an attack of opportunity.,Bonus auf flankierende Angriffe oder Gelegenheitsangriffe
ENERGY,ENERGY|RESISTANCE,ENERGIE
RESISTANCE,ENERGY|RESISTANCE,RESISTENZ
TOTAL HIT DICE,MAX ANIMATE UNDEAD|TOTAL HIT DICE,TW GESAMT
Shot on the run,Shot on the run    Attack at any point during your move,Aus vollem Lauf schießen
Attack at any point during your move,Shot on the run    Attack at any point during your move,Während der Bewegung angreifen
"loyalty,","+1 loyalty, +1bp consumption",auf Treue
+1bp,"+1 loyalty, +1bp consumption",+1 BP
consumption,"+1 loyalty, +1bp consumption",Verbrauch
Shielded Caster,Shielded Caster    +4 to concentration checks,Geschützter Zauberer
to concentration checks,Shielded Caster    +4 to concentration checks,auf Konzentrationswürfe
DAMAGE,DAMAGE ROLL,SCHADENS
ROLL,DAMAGE ROLL,WURF
Chaotic:,Chaotic: +2 Loyalty,Chaotisch:
Loyalty,Chaotic: +2 Loyalty,Treue
Duration,Duration +1 round,Dauer
BASE|ATTACK,BASE|ATTACK|BONUS,Gund-|angriff
BONUS,BASE|ATTACK|BONUS,Bonus
BASE ATTACK,BASE ATTACK BONUS,GRUNDANGRIFFS
BONUS,BASE ATTACK BONUS,BONUS
FOES,FOES|PER DAY,GEGNER
PER DAY,FOES|PER DAY,PRO TAG
Spirit form,Spirit form  1 /day,Geistform
1 /day,Spirit form  1 /day,1 /Tag
WIS,Power Save DC = 10 + WIS + Power Level,WE
Cleaving Finish,Cleaving Finish    Extra attack if enemy is knocked out,Doppeltodesstoß
Extra attack if enemy is knocked out,Cleaving Finish    Extra attack if enemy is knocked out,"Mache einen zusätzlichen Angriff, wenn der Gegner bewusstlos wird"
SUBTOTAL,SUBTOTAL BUFFS & TEAMWORK,TEILSUMME
BUFFS & TEAMWORK,SUBTOTAL BUFFS & TEAMWORK,BUFFS & GEMEINS.-TAL.
DAMAGE,DAMAGE|REDUCTION,SCHADENS-
REDUCTION,DAMAGE|REDUCTION,REDUZIERUNG
DURATION,MISLEAD: GREATER|INVISIBILITY|DURATION,DAUER
Penetrating Strike,Penetrating Strike    Ignore damage reduction up to 5/—,Durchschlag. Hieb
Ignore damage reduction up to,Penetrating Strike    Ignore damage reduction up to 5/—,Ignoriere Schadensreduktion bis
1d4,"1d4 negative levels, 1 round",1W4
Improved Back to Back,Improved Back to Back    +2 to ally’s AC,Verbessertes Rücken an Rücken
to ally’s,Improved Back to Back    +2 to ally’s AC,bei Verbündeten auf
AC,Improved Back to Back    +2 to ally’s AC,RK
Ruler of a colony or vassal state,"Ruler of a colony or vassal state – May also take any role for colony, with 1 less benefit",Herrscher einer Kolonie oder eines Vasallenstaates
"– May also take any role for colony, with 1 less benefit","Ruler of a colony or vassal state – May also take any role for colony, with 1 less benefit","– Darf jede Funktion der Kolonie übernehmen, allerdings mit einem um 1 verringerten Vorteil"
WIS,(WIS minimum 1),WE
DURATION,AURA|DURATION,DAUER
Oversees international relations,"Oversees international relations – If vacant, -2 stability and cannot issue Diplomatic or Exploration Edicts",Kümmert sich um die Beziehungen zu anderen Nationen
"– If vacant,","Oversees international relations – If vacant, -2 stability and cannot issue Diplomatic or Exploration Edicts","– Wenn unbesetzt,"
stability and cannot issue Diplomatic or Exploration Edicts,"Oversees international relations – If vacant, -2 stability and cannot issue Diplomatic or Exploration Edicts",auf Stabilität; du kannst keine diplomatischen oder Erkundungserlasse verfügen
Shield Wall,Shield Wall    +1 / +2 to AC when both using shields,Schildwall
to,Shield Wall    +1 / +2 to AC when both using shields,auf die
AC,Shield Wall    +1 / +2 to AC when both using shields,RK
when both using shields,Shield Wall    +1 / +2 to AC when both using shields,", wenn beide benutzen"
FLURRY OF BLOWS,FLURRY OF BLOWS|BASE ATTACK BONUS,SCHLAGHAGEL
BASE ATTACK BONUS,FLURRY OF BLOWS|BASE ATTACK BONUS,GRUND-ANGRIFFSBONUS
TEAMWORK,TEAMWORK|FEATS,GEMEINSCHAFTS-
FEATS,TEAMWORK|FEATS,TALENTE
USES,USES|PER DAY,ANZAHL
PER DAY,USES|PER DAY,PRO TAG
Spell Save DC = 10 + CHA + Spell Level,Spell Save DC = 10 + CHA + Spell Level + Sneak Spell,RW gegen Zauber (SG) = 10 + CH + Zaubergrad
WIS,"On a hit, Fort (DC 10 + ½ level + WIS) or stunned for 1 round",WE
TOUCH,TOUCH AC,BERÜHRUNG
AC,TOUCH AC,RK
Penetrating Strike,Penetrating Strike    Ignore damage reduction up to    5/—,Durchschlagender Hieb
Ignore damage reduction up to,Penetrating Strike    Ignore damage reduction up to    5/—,Ignoriere Schadensreduzierung bis zu
INT,+ INT| per level,IN
per level,+ INT| per level,pro Stufe
DURATION,ALTER SELF|DURATION,DAUER
to jump checks -,+20 to jump checks - 1 ki point,auf Fertigkeitswürfe (Springen) -
1 ki point,+20 to jump checks - 1 ki point,1 Ki-Punkt
DEFLECTION,DEFLECTION|BONUS,ABLENKUNG
BONUS,DEFLECTION|BONUS,BONUS
TRICKS,TRICKS|KNOWN,TRICKS
KNOWN,TRICKS|KNOWN,BEKANNT
DC,DC    5,SG
Slow Fall,Slow Fall 40 ft,Sturz abbremsen
40 ft,Slow Fall 40 ft,12m
RAGE!,RAGE! DURATION,KAMPFRAUSCH!
DURATION,RAGE! DURATION,DAUER
+2d6,Sneak Attack +2d6,+ 2W6
Masterwork,Masterwork     Doesn’t stack with magic bonus,Meisterarbeit
Doesn’t stack with magic bonus,Masterwork     Doesn’t stack with magic bonus,Nicht kumulativ mit magischen Boni
DURATION,BREATH|DURATION,DAUER
Commands the army,"Commands the army – If vacant, -4 loyalty",Befehligt die Armeen des Reiches
"– If vacant,","Commands the army – If vacant, -4 loyalty","– Wenn unbesetzt,"
loyalty,"Commands the army – If vacant, -4 loyalty",auf Stabilität
Cleave,Cleave    Extra attack if you hit,Doppelschlag
Extra attack if you hit,Cleave    Extra attack if you hit,Zusatzangriff nach erfolgreichem ersten Angriff
Damage reduction,Wolfsbane|Damage reduction,Schadensreduzierung
Shot on the Run,Shot on the Run    Attack at any point during your move,Aus vollem Lauf schießen
Attack at any point during your move,Shot on the Run    Attack at any point during your move,Führe einen Fernkampfangriff zu einem beliebigen Zeitpunkt während deiner Bewegung aus (erfordert volle Aktion)
Greater snap shot,Greater snap shot    Damage and critical confirmation bonus,Mächtiger Gelegenheitsschuss
Damage and critical confirmation bonus,Greater snap shot    Damage and critical confirmation bonus,Bonus auf Schaden und kritische Bestätigung
TO TURN CREATURE,TO TURN CREATURE  MAX HIT DICE,MONSTER VERTREIBEN
MAX HIT DICE,TO TURN CREATURE  MAX HIT DICE,MAX TW
Double Slice,Double Slice    No damage penalty,Doppelschnitt
No damage penalty,Double Slice    No damage penalty,Voller Stärkebonus auf Schaden mit Zweithandwaffe
KNOWLEDGE,KNOWLEDGE PER DAY,WISSEN | PRO TAG
PER DAY,KNOWLEDGE PER DAY,PRO TAG
Outflank,Outflank    When flanking,Ausmanövrieren
When flanking,Outflank    When flanking,Beim Flankieren
RAGE,"Each alcoholic drink consumed results in|1 round of nausea after the end of your RAGE,|in addition to the normal fatigue.",KAMPFRAUSCH
Make unarmed strikes with any free limb|Flurry of blows uses full,"Make unarmed strikes with any free limb|Flurry of blows uses full STR bonus, even with off hand",Führe einen Waffenlosen Schlag mit irgendeiner Gliedmaße durch|Schlaghagel nutzt vollen
STR,"Make unarmed strikes with any free limb|Flurry of blows uses full STR bonus, even with off hand",ST
"bonus, even with off hand","Make unarmed strikes with any free limb|Flurry of blows uses full STR bonus, even with off hand","Bonus, sogar mit deiner Zweithand"
DURATION,SCENT ABIILITY|DURATION,DAUER
INITIATIVE,INITIATIVE BONUS,INITIATIVE
BONUS,INITIATIVE BONUS,BONUS
"economy,","+4 economy, -8 loyalty","auf Wirtschaft,"
loyalty,"+4 economy, -8 loyalty",auf Treue
"economy,","+2 economy, -2 loyalty","auf Wirtschaft,"
loyalty,"+2 economy, -2 loyalty",auf Treue
(which grants,(which grants +12 to Acrobatics),gibt
to Acrobatics),(which grants +12 to Acrobatics),Akrobatik
"loyalty,","+3 loyalty, +4bp consumption","auf Treue,"
+4bp,"+3 loyalty, +4bp consumption",+4 BP
consumption,"+3 loyalty, +4bp consumption",Verbrauch
Swap,"Swap 3d6 of chastise damage, weaken for 1 round",Tausche
3d6,"Swap 3d6 of chastise damage, weaken for 1 round",3W6
"of chastise damage, weaken for","Swap 3d6 of chastise damage, weaken for 1 round",des Bestrafungsschadens gegen Schwächung für
1 round,"Swap 3d6 of chastise damage, weaken for 1 round",1 Runde
Damage Reduction 2/,Damage Reduction 2/―,Schadensreduzierung 2/
Improved Precise Shot,Improved Precise Shot    Ignore the penalties for partial cover or partial concealment,Verbesserter Präzisionsschuss
Ignore the penalties for partial cover or partial concealment,Improved Precise Shot    Ignore the penalties for partial cover or partial concealment,Ignoriere den den Rüstungsbonus für teilweise Deckung oder teilweise Tarnung des Ziels
Allied Spellcaster,Allied Spellcaster    +2 to overcome spell resistance,Verbündeter Zauberkundiger
to overcome spell resistance,Allied Spellcaster    +2 to overcome spell resistance,um Zauberresistenz zu überwinden
level ÷ 2,→ level ÷ 2,Stufe ÷ 2
Fast Movement,Fast Movement +20 ft,Schnelle Bewegung
+20 ft,Fast Movement +20 ft,+6m
Rapid shot,Rapid shot    Extra attack at full,Schnelles Schießen
Extra attack at full,Rapid shot    Extra attack at full,Zusätzlicher Angriff bei vollem Angriff
Precise shot,Precise shot    No penalty firing into melee,Präzisionsschuss
No penalty firing into melee,Precise shot    No penalty firing into melee,Ohne Malus in Nahkampf feuern
(which grants,(which grants +16 to Acrobatics),gibt
to Acrobatics),(which grants +16 to Acrobatics),Akrobatik
PER DAY,SPELLBANE OR CURSEBREAKER|PER DAY,PRO TAG
Wild Shape,Wild Shape|Become any small or medium animal,Tiergestalt
Become any small or medium animal,Wild Shape|Become any small or medium animal,Werde irgendein kleines oder mittelgroßes Tier
COMBAT|MANEUVRE,COMBAT|MANEUVRE|DEFENCE,KAMPF-|MANÖVER
DEFENCE,COMBAT|MANEUVRE|DEFENCE,VERTEIDIGUNG
PER DAY,FEAT SHARING|PER DAY,PRO TAG
TERRAIN,"TERRAIN    Build farms, roads, mines etc",GELÄNDE
"Build farms, roads, mines etc","TERRAIN    Build farms, roads, mines etc","Errichte Bauernhöfe, Straßen, Minen, ..."
DURATION,DISPLACEMENT|DURATION,DAUER
CURSES,CURSES|PER DAY,FLÜCHE
PER DAY,CURSES|PER DAY,PRO TAG
Slow Fall,Slow Fall 60 ft,Sturz abbremsen
60 ft,Slow Fall 60 ft,18m
Lose,"Lose 1000 xp, receive Heal on reaching 0 hp",Verwende
1000 xp,"Lose 1000 xp, receive Heal on reaching 0 hp",1000 EP
", receive Heal on reaching","Lose 1000 xp, receive Heal on reaching 0 hp",für Heilung beim Fallen auf
0 hp,"Lose 1000 xp, receive Heal on reaching 0 hp",0 TP
SINGLE,SINGLE ATTACK,EINZELNER
ATTACK,SINGLE ATTACK,ANGRIFF
Improved Feint Partner,"Improved Feint Partner    When ally feints, gain AoO",Verbesserte Gemeinschaftliche Finte
"When ally feints, gain AoO","Improved Feint Partner    When ally feints, gain AoO","Provoziert einen Gelegenheitsangriff, wenn Verbündeter eine Finte ausführt"
RAGE!,RAGE! POWERS,KAMPFRAUSCH!
POWERS,RAGE! POWERS,KRÄFTE
2/day,Vestige Metamagic 2/day,2/Tag
Back to Back,Back to Back     +2 to AC against flanking,Rücken an Rücken
to,Back to Back     +2 to AC against flanking,zur
AC,Back to Back     +2 to AC against flanking,RK
against flanking,Back to Back     +2 to AC against flanking,wenn in die Zange genommen
FORTITUDE,FORTITUDE|SAVE DC,Zähigkeit
FORTITUDE|SAVE,FORTITUDE|SAVE DC,Zähigkeits|-wurf
SAVE DC,FORTITUDE|SAVE DC,SG des Rettungswurf 
DC,FORTITUDE|SAVE DC,SG
FORTUNE,FORTUNE|PER DAY,GLÜCK | PRO TAG
PER DAY,FORTUNE|PER DAY,PRO TAG
Resist Nature’s Lure,Resist Nature’s Lure|+4 to saves against the fey and plants,Lockruf der Natur widerstehen
+4 to saves against the fey and plants,Resist Nature’s Lure|+4 to saves against the fey and plants,+4 auf Rettungswürfe gegen Feen und Pflanzen
Cost:,Cost: 2 pt,Kosten: | 2 pkt
PER DAY,SECOND CHANCES|PER DAY,PRO TAG
PER DAY,BOMBS|PER DAY,PRO TAG
Assume ethereal state for 1 minute -,Assume ethereal state for 1 minute - 3 ki points,Nimm 1 Minute lang ätherische Form an -
3 ki points,Assume ethereal state for 1 minute - 3 ki points,3 Ki-Punkte
"Harm spirits,","Harm spirits, 1d6 /level, within 30ft","Geistern Schaden zufügen:,"
1d6 /level,"Harm spirits, 1d6 /level, within 30ft",1W6 /Stufe
", within","Harm spirits, 1d6 /level, within 30ft",", bis zu"
30ft,"Harm spirits, 1d6 /level, within 30ft",9m
WILL,WILL|SAVE DC,WIL
SAVE DC,WILL|SAVE DC,SG RETTUNGSWURF
SHARE FAVOURED ENEMY,SHARE FAVOURED ENEMY|DURATION,TEILE ERZFEIND
DURATION,SHARE FAVOURED ENEMY|DURATION,DAUER
PER DAY,REDIRECTION|PER DAY,PRO TAG
Damage Reduction 4/,Damage Reduction 4/―,Schadensreduzierung 4/
SMITINGS,SMITINGS|PER DAY,NIEDERSTRECKEN
INSTANT METAMAGIC,INSTANT METAMAGIC|USES PER DAY,SOFORTIGE METAMAGIE
USES PER DAY,INSTANT METAMAGIC|USES PER DAY,NUTZUNGEN PRO TAG
CONSTITUTION|SCORE,CONSTITUTION|SCORE|BONUS,KONSTITUTIONS-|WERT
BONUS,CONSTITUTION|SCORE|BONUS,BONUS
MAX EFFECT,MAX EFFECT|DURATION,MAX. EFFEKT-
DURATION,MAX EFFECT|DURATION,DAUER
Quick Draw,Quick Draw    Draw your weapon as a free action,Schnelle Waffenbereitschaft
Draw your weapon as a free action,Quick Draw    Draw your weapon as a free action,Ziehe deine Waffe als freie Aktion
HEALING POINTS,HEALING POINTS|PER DAY,HEILUNGSPUNKTE
PER DAY,HEALING POINTS|PER DAY,PRO TAG
UNLUCKY MISS,UNLUCKY MISS|CHANCE,FEHLSCHLAGS-
CHANCE,UNLUCKY MISS|CHANCE,Chance
TOTAL HIT DICE,MAX CONTROL UNDEAD|TOTAL HIT DICE,TW GESAMT
HEALING,HEALING|PER DAY,HEILT
PER DAY,HEALING|PER DAY,PRO TAG
2/day,Charm Person 2/day,2/Tag
RAGE!,RAGE!|Modifier,KAMPFRAUSCH!
Modifier,RAGE!|Modifier,Modifikator
Slow Fall,Slow Fall 80 ft,Sturz abbremsen
80 ft,Slow Fall 80 ft,24m
MELEE DAMAGE,MELEE DAMAGE|BONUS,NAHKAMPFSCHADEN | BONUS
Off-hand weapon,Off-hand weapon    (2 less for a light weapon),Zweithandwaffe
less for a light weapon),Off-hand weapon    (2 less for a light weapon),weniger bei leicher Waffe)
(which grants,(which grants +16 to Acrobatics checks for jumping),(gibt
to Acrobatics checks for jumping),(which grants +16 to Acrobatics checks for jumping),Akrobatik für Sprünge)
STUNNING FIST,STUNNING FIST|PER DAY,Betäubender Schlag
PER DAY,STUNNING FIST|PER DAY,Anzahl
RAGE!,RAGE!  DURATION|PER DAY,KAMPFRAUSCH!
DURATION,RAGE!  DURATION|PER DAY,DAUER
PER DAY,RAGE!  DURATION|PER DAY,PRO TAG
TOUCH AC,TOUCH AC|BONUS,RK BERÜHRUNG
BONUS,TOUCH AC|BONUS,BONUS
SNEAK ATTACK,SNEAK ATTACK|BONUS,HINTERHÄLTIGER ANGRIFF
BONUS,SNEAK ATTACK|BONUS,BONUS
Mental Strength,Mental Strength|Immune to charm and compulsion effects,Mentale Stärke
MANOEUVRES,MANOEUVRES KNOWN,MANÖVER
KNOWN,MANOEUVRES KNOWN,BEKANNT
Snap shot,Snap shot    AoO with a ranged weapon within 5ft,Gelegenheitsschuss
AoO with a ranged weapon within,Snap shot    AoO with a ranged weapon within 5ft,Gelegenheitsangriff mit Fernkampfwaffe innerhalb von
5ft,Snap shot    AoO with a ranged weapon within 5ft,"1,5m"
Mass suggestion,Mass suggestion   Influence 1 subject per level,Masseneinflüsterung
ATTACK,ATTACK|PENALTY,ANGRIFFS-
PENALTY,ATTACK|PENALTY,MALUS
1d6,1d2 → 1d3 → 1d4 → 1d6 → 1d8 → 2d6 → 3d6 → 4d6 → 6d6 → 8d6 → 12d6,1W6
3d6,1d2 → 1d3 → 1d4 → 1d6 → 1d8 → 2d6 → 3d6 → 4d6 → 6d6 → 8d6 → 12d6,3W6
COMBAT MANOEUVRE,COMBAT MANOEUVRE|DEFENCE,KAMPFMANÖVER
DEFENCE,COMBAT MANOEUVRE|DEFENCE,VERTEIDIGUNG
Collect taxes and manage finances,"Collect taxes and manage finances – If vacant, -4 economy and kingdom can’t levy taxes",Treibt die Steuern ein und verwaltet die Schatzkammer
"– If vacant,","Collect taxes and manage finances – If vacant, -4 economy and kingdom can’t levy taxes","– Wenn unbesetzt,"
economy and kingdom can’t levy taxes,"Collect taxes and manage finances – If vacant, -4 economy and kingdom can’t levy taxes",auf Wirtschaft; Königreich kann keine Steuern erheben
"economy,","+3 economy, -4 loyalty","auf Wirtschaft,"
loyalty,"+3 economy, -4 loyalty",auf Treue
AURAS,AURAS|DURATION,AURAS
DURATION,AURAS|DURATION,DAUER
+2 WIS,+2 WIS and -2 CHA in all three forms.,+2 WE
and,+2 WIS and -2 CHA in all three forms.,und
-2 CHA,+2 WIS and -2 CHA in all three forms.,-2 CH
in all three forms.,+2 WIS and -2 CHA in all three forms.,in allen drei Gestalten.
2d8,1d10 → 2d8 → 3d8 → 4d8 → 6d8 → 8d8 → 12d8,2W8
12d8,1d10 → 2d8 → 3d8 → 4d8 → 6d8 → 8d8 → 12d8,12W8
Twice per day,Level 16: Twice per day,Zweimal pro Tag
3d6,Drunken Strength 3d6,3W6
JUDGEMENTS,JUDGEMENTS|PER DAY,URTEILE | PRO TAG
PER DAY,JUDGEMENTS|PER DAY,PRO TAG
Death or Glory,"Death or Glory    +4 (+1 at levels 11, 16, 20)",Ruhm oder Tod
"at levels 11, 16, 20)","Death or Glory    +4 (+1 at levels 11, 16, 20)","bei GAB +11, +16, +20)"
SPECIALITY,SPECIALITY SCHOOL,SPEZIALISIERTE
SCHOOL,SPECIALITY SCHOOL,SCHULE
Favoured Terrain,Favoured Terrain|Bonus in a given terrain,Bevorzugtes Gelände
(which grants,(which grants +4 to Acrobatics),gibt
to Acrobatics),(which grants +4 to Acrobatics),Akrobatik
Slip magically between spaces -,Slip magically between spaces - 2 ki points,Magische Bewegung zwischen den Dimensionen -
2 ki points,Slip magically between spaces - 2 ki points,2 Ki-Punkte
Weapon Finesse,Weapon Finesse    Use DEX for melee attack,Waffenfinesse
Use,Weapon Finesse    Use DEX for melee attack,Nutze
DEX,Weapon Finesse    Use DEX for melee attack,GE
for melee attack,Weapon Finesse    Use DEX for melee attack,für Nahkampfangriffe
Level,400’+ 40’ × Level,Grad
ARMOUR CHECK|PENALTY,ARMOUR CHECK|PENALTY REDUCTION,RÜSTUNGS-|MALUS
REDUCTION,ARMOUR CHECK|PENALTY REDUCTION,Reduzierung
DAMAGE,DAMAGE|BONUS,SCHADEN
BONUS,DAMAGE|BONUS,BONUS
Become incorporeal for,Become incorporeal for 1 min,Werde körperlos für
1 min,Become incorporeal for 1 min,1 min.
PER DAY,REBUKES PER DAY,PRO TAG
Wild Shape,Wild Shape|Become any small or medium animal or giant,Tiergestalt
Class|Skills,Class|Skills|+3,Klassen-|fertigkeiten
Liases with the people,"Liases with the people – If vacant, -2 loyalty, +1 unrest at upkeep and no bonus from festivals",Kümmert sich um den Willen der Bürger
"– If vacant,","Liases with the people – If vacant, -2 loyalty, +1 unrest at upkeep and no bonus from festivals","– Wenn unbesetzt,"
"loyalty,","Liases with the people – If vacant, -2 loyalty, +1 unrest at upkeep and no bonus from festivals","auf Treue,"
unrest at upkeep and no bonus from festivals,"Liases with the people – If vacant, -2 loyalty, +1 unrest at upkeep and no bonus from festivals",auf Unruhe in der Unterhaltsphase; kein Bonus durch Festlichkeiten
USES,USES PER DAY,EINSETZBAR
PER DAY,USES PER DAY,PRO TAG
PER DAY,DEVOTED STRIKES|PER DAY,PRO TAG
TO DESTROY CREATURE,TO DESTROY CREATURE  MAX HIT DICE,MONSTER ZERSTÖRT
MAX HIT DICE,TO DESTROY CREATURE  MAX HIT DICE,MAX TW
Venom Immunity,Venom Immunity|Immune to all poisons,Immunität gegen Gift
Immune to all poisons,Venom Immunity|Immune to all poisons,Immun gegen jedes Gift
PER DAY,ENHANCE HEALING|PER DAY,PRO TAG
RAGE!,RAGE! POWERS |KNOWN,KAMPFRAUSCH!
POWERS,RAGE! POWERS |KNOWN,KRÄFTE
KNOWN,RAGE! POWERS |KNOWN,BEKANNT
CHASTISE SPIRITS,CHASTISE SPIRITS|PER DAY,GEISTER BESTRAFEN
PER DAY,CHASTISE SPIRITS|PER DAY,PRO TAG
"Protect self against spirits, casting time","Protect self against spirits, casting time 10 mins","Sich vor Geistern schützen, Zeitaufwand"
10 mins,"Protect self against spirits, casting time 10 mins",10 min.
Precise Strike,Precise Strike    When flanking,Genauer Schlag
When flanking,Precise Strike    When flanking,Beim Flankieren
Duration,RAGE|Duration,Dauer
PER DAY,TRAPS|PER DAY,PRO TAG
Craft -,Craft - INT|Perform - CHA,Handwerk -
INT,Craft - INT|Perform - CHA,IN
Perform -,Craft - INT|Perform - CHA,Auftreten -
CHA,Craft - INT|Perform - CHA,CH
+2d6,Damage +2d6 to good/evil creatures,+ 2W6
Lawful:,Lawful: +2 Economy,Rechtschaffen:
Economy,Lawful: +2 Economy,Wirtschaft
(which grants,(which grants +8 to Acrobatics checks for jumping),(gibt
to Acrobatics checks for jumping),(which grants +8 to Acrobatics checks for jumping),Akrobatik für Sprünge)
PER DAY,GRIT POINTS|PER DAY,PRO TAG
DC,DC 10,SG
DURATION,SHADOW TWIN|DURATION,DAUER
Enforce rural justice,"Enforce rural justice – If vacant, -4 economy",Setzt Recht und Ordnung in ländlichen Gebieten durch
"– If vacant,","Enforce rural justice – If vacant, -4 economy","– Wenn unbesetzt,"
economy,"Enforce rural justice – If vacant, -4 economy",auf Wirtschaft
1/day,Vestige Metamagic 1/day,1/Tag
spell save DC,+2 spell save DC  or  +2 to attack  or  +2 against target’s spell resistance,RW gegen Zauber (SG)
OPPOSED,OPPOSED SCHOOLS,VERBOTENE
SCHOOLS,OPPOSED SCHOOLS,SCHULEN
Clustered shots,Clustered shots    Group arrows to overcome damage reduction,Treffersalve
Group arrows to overcome damage reduction,Clustered shots    Group arrows to overcome damage reduction,Gruppiere Pfeile um Schadensreduzierung zu überkommen
DURATION,MIND BLADE|DURATION,DAUER
Charge,Charge  -2 to AC for the rest of the round,Sturmangriff
to,Charge  -2 to AC for the rest of the round,auf deine
AC,Charge  -2 to AC for the rest of the round,RK
for the rest of the round,Charge  -2 to AC for the rest of the round,bis zu deinem nächsten Zug
Tireless,Tireless RAGE!,UNERMÜDLICHER
RAGE!,Tireless RAGE!,KAMPFRAUSCH!
STUNNING FIST,STUNNING FIST|TODAY,Betäubender Schlag
TODAY,STUNNING FIST|TODAY,HEUTE
Acrobatics DC = Opponent’s,Acrobatics DC = Opponent’s CMD,Akrobatik SG=Gegnerischer 
CMD,Acrobatics DC = Opponent’s CMD,KMV
MASTER STRIKE,MASTER STRIKE|FORTITUDE DC,MEISTERHAFTER ANGRIFF
FORTITUDE DC,MASTER STRIKE|FORTITUDE DC,ZÄHIGKEITSWURF (SG)
MAX STOLEN,MAX STOLEN|SPELL LEVEL,MAX. GESTOHLENER
SPELL LEVEL,MAX STOLEN|SPELL LEVEL,ZAUBERGRAD
Lose,"Lose DEX bonus to AC; -2 AC|-4 on STR and DEX skills, opposed Perception|50% miss chance when attacking|DC 10 Acrobatics to move more than half speed",Verliere
DEX,"Lose DEX bonus to AC; -2 AC|-4 on STR and DEX skills, opposed Perception|50% miss chance when attacking|DC 10 Acrobatics to move more than half speed",GE
bonus to,"Lose DEX bonus to AC; -2 AC|-4 on STR and DEX skills, opposed Perception|50% miss chance when attacking|DC 10 Acrobatics to move more than half speed",-Bonus auf
